Country,Highest_consumption
Afghanistan,no_cons
Bangladesh,no_cons
North Korea,no_cons
Iran,no_cons
Kuwait,no_cons
Libya,no_cons
Maldives,no_cons
Marshall Islands,no_cons
Mauritania,no_cons
Monaco,no_cons
Pakistan,no_cons
San Marino,no_cons
Somalia,no_cons
Algeria,beer
Angola,beer
Australia,beer
Austria,beer
Belgium,beer
Belize,beer
Benin,beer
Bhutan,beer
Bolivia,beer
Botswana,beer
Brazil,beer
Brunei,beer
Burkina Faso,beer
Burundi,beer
Cote d'Ivoire,beer
Cabo Verde,beer
Cameroon,beer
Canada,beer
Central African Republic,beer
Chad,beer
Colombia,beer
Congo,beer
Costa Rica,beer
Cyprus,beer
Czech Republic,beer
DR Congo,beer
Dominican Republic,beer
Ecuador,beer
Egypt,beer
Eritrea,beer
Estonia,beer
Ethiopia,beer
Fiji,beer
Finland,beer
Gabon,beer
Gambia,beer
Germany,beer
Ghana,beer
Guinea,beer
Hungary,beer
Iceland,beer
Indonesia,beer
Iraq,beer
Ireland,beer
Kenya,beer
Latvia,beer
Lesotho,beer
Lithuania,beer
Madagascar,beer
Malaysia,beer
Mali,beer
Malta,beer
Mauritius,beer
Mexico,beer
Micronesia,beer
Morocco,beer
Mozambique,beer
Myanmar,beer
Namibia,beer
Nauru,beer
Netherlands,beer
New Zealand,beer
Niger,beer
Nigeria,beer
Norway,beer
Oman,beer
Palau,beer
Panama,beer
Papua New Guinea,beer
Paraguay,beer
Peru,beer
Poland,beer
South Korea,beer
Romania,beer
Rwanda,beer
Samoa,beer
Senegal,beer
Serbia,beer
Seychelles,beer
Sierra Leone,beer
Singapore,beer
Solomon Islands,beer
South Africa,beer
Spain,beer
Swaziland,beer
Macedonia,beer
Togo,beer
Tonga,beer
Trinidad & Tobago,beer
Tunisia,beer
Turkey,beer
Uganda,beer
United Kingdom,beer
Tanzania,beer
USA,beer
Vanuatu,beer
Venezuela,beer
Vietnam,beer
Yemen,beer
Zambia,beer
Zimbabwe,beer
Albania,spirit
Antigua & Barbuda,spirit
Armenia,spirit
Azerbaijan,spirit
Bahamas,spirit
Bahrain,spirit
Barbados,spirit
Belarus,spirit
Bosnia-Herzegovina,spirit
Bulgaria,spirit
Cambodia,spirit
China,spirit
Comoros,spirit
Cook Islands,spirit
Cuba,spirit
Djibouti,spirit
Dominica,spirit
El Salvador,spirit
Grenada,spirit
Guatemala,spirit
Guinea-Bissau,spirit
Guyana,spirit
Haiti,spirit
Honduras,spirit
India,spirit
Israel,spirit
Jamaica,spirit
Japan,spirit
Jordan,spirit
Kazakhstan,spirit
Kiribati,spirit
Kyrgyzstan,spirit
Lebanon,spirit
Liberia,spirit
Malawi,spirit
Mongolia,spirit
Nepal,spirit
Nicaragua,spirit
Niue,spirit
Philippines,spirit
Qatar,spirit
Moldova,spirit
Russian Federation,spirit
St. Kitts & Nevis,spirit
St. Lucia,spirit
St. Vincent & the Grenadines,spirit
Saudi Arabia,spirit
Slovakia,spirit
Sri Lanka,spirit
Sudan,spirit
Suriname,spirit
Syria,spirit
Tajikistan,spirit
Thailand,spirit
Turkmenistan,spirit
Tuvalu,spirit
Ukraine,spirit
United Arab Emirates,spirit
Uzbekistan,spirit
Andorra,wine
Argentina,wine
Chile,wine
Croatia,wine
Denmark,wine
Equatorial Guinea,wine
France,wine
Georgia,wine
Greece,wine
Italy,wine
Laos,wine
Luxembourg,wine
Montenegro,wine
Portugal,wine
Sao Tome & Principe,wine
Slovenia,wine
Sweden,wine
Switzerland,wine
Timor-Leste,wine
Uruguay,wine
